path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
GK_xum02/xqd/8-In-doped/1-GeTe/0-equilibrate	0	3000.0	3000.0	2000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/01-1200K	0	1200.0	1200.0	2000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/1-300K	0	3000.0	300.0	3000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/2-opt	2			300	0.50	33314	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/3-MD	0	300.0	300.0	2000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/02-300K	0	1200.0	300.0	10000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/4-scf	-1			0	0.5	33314	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/03-opt	2			300	0.50	33314	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/04-MD	0	300.0	300.0	2000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/2-Sb2Te3/0-equilibrate	0	3000.0	3000.0	2000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/01-1200K	0	1200.0	1200.0	2000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/1-300K	0	3000.0	300.0	3000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/2-opt	2			500	0.50	33314	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/3-MD	0	300.0	300.0	2000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/4-scf	-1			0	0.5	0	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/02-300K	0	1200.0	300.0	10000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/03-opt	2			500	0.50	33314	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/04-MD	0	300.0	300.0	2000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/3-GST225/0-equilibrate	0	3000.0	3000.0	2000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/01-1200K	0	1200.0	1200.0	2000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/1-300K	0	3000.0	300.0	3000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/2-opt	2			300	0.50	33985	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/3-MD	0	300.0	300.0	2000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/4-scf	-1			0	0.5	33985	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/02-300K	0	1200.0	300.0	10000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/03-opt	0	300.0	300.0	2000	3.00	33985	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/04-MD	0	300.0	300.0	2000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/4-Sb/0-equilibrate	0	3000.0	3000.0	2000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/01-1200K	0	1200.0	1200.0	2000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/1-300K	0	3000.0	300.0	3000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/2-opt	2			300	0.50	33303	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/3-MD	0	300.0	300.0	2000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/02-300K	0	1200.0	300.0	10000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/4-scf	-1			0	0.5	33303	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/03-opt	2			300	0.50	33303	In Sb	30 270
