model_key	rep_path	how	n_merged	formula	species	counts	natoms	tebeg
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-28	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-28	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-29	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-29	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-3	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-3	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-30	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-30	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-31	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-31	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-32	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-32	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-33	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-33	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-34	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-34	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-35	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-35	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-36	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-36	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-37	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-37	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-38	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-38	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-39	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-39	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-4	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-4	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-40	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-40	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-41	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-41	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-5	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-5	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-6	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-6	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-7	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-7	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-8	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-8	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-9	ysj/condi-diff/density_gen/high_dens/POSCAR-4.91-9	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-1	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-1	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-10	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-10	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-11	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-11	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-12	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-12	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-13	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-13	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-14	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-14	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-15	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-15	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-16	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-16	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-17	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-17	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-18	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-18	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-19	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-19	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-2	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-2	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-20	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-20	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-21	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-21	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-22	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-22	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-23	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-23	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-24	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-24	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-25	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-25	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-26	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-26	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-27	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-27	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-28	ysj/condi-diff/density_gen/low_dens/POSCAR-4.15-28	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
