path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
xqd/GST467/1-225/2-300K/opt	2			300	0.50	33974	Ge Sb Te	68 68 170
xqd/GST467/1-225/2-300K/MD	0	300	300	3000	3.00	79061	Ge Sb Te	68 68 170
xqd/GST467/1-225/2-300K/MD/dos	-1			0	0.50	33974	Ge Sb Te	68 68 170
xqd/GST467/1-225/2-300K/MD/HSE-dos	-1			0	0.50	33974	Ge Sb Te	68 68 170
xqd/4-TaSeO/1-Ag/1-relax	0	3000	3000	1500	3.00	89219	O Se Ag Ta	82 27 58 163
xqd/4-TaSeO/1-Ag/3-a-TSO/12-relax	0	3000	3000	1000	3.00	104552	O Se Ag Ta	97 11 63 216
xqd/4-TaSeO/1-Ag/3-a-TSO/1-relax	0	3000	3000	1000	3.00	104552	O Se Ag Ta	97 11 63 216
xqd/4-TaSeO/1-Ag/3-a-TSO/2-quench	0	3000	300	2000	3.00	104552	O Se Ag Ta	97 11 63 216
xqd/4-TaSeO/1-Ag/4-a-TSO-hex/1-relax	0	3000	3000	2000	3.00	103207	O Se Ag Ta	97 11 58 216
xqd/4-TaSeO/1-Ag/2-a-TSO/1-relax	0	3000	3000	1000	3.00	88143	O Se Ag Ta	81 9 63 173
xqd/4-TaSeO/2-Ag2Se/1-relax	0	3000	3000	1500	3.00	87605	O Se Ag Ta	79 49 37 159
xqd/4-TaSeO/2-Ag2Se/3-a-TSO/1-relax	0	3000	3000	1000	3.00	103745	O Se Ag Ta	97 34 37 216
xqd/4-TaSeO/2-Ag2Se/3-a-TSO/2-quench	0	3000	300	2000	3.00	103745	O Se Ag Ta	97 34 37 216
xqd/4-TaSeO/2-Ag2Se/3-a-TSO/12-relax	0	3000	3000	1000	3.00	103745	O Se Ag Ta	97 34 37 216
xqd/4-TaSeO/2-Ag2Se/2-a-TSO/1-relax	0	3000	3000	1000	3.00	87336	O Se Ag Ta	81 32 37 173
xqd/6-SST/20	-1			0	0.50	33314	Sb Te Se	120 144 36
xqd/6-SST/20/scale/1	-1			0	0.50	33314	Sb Te Se	120 144 36
xqd/6-SST/20/scale/3	-1			0	0.50	33314	Sb Te Se	120 144 36
xqd/6-SST/20/scale/2	-1			0	0.50	33314	Sb Te Se	120 144 36
xqd/6-SST/50	-1			0	0.50	33314	Sb Te Se	120 90 90
xqd/6-SST/90	-1			0	0.50	33314	Sb Te Se	120 18 162
xqd/6-SST/10	-1			0	0.50	33314	Sb Te Se	120 162 18
xqd/6-SST/30	-1			0	0.50	33314	Sb Te Se	120 126 54
xqd/6-SST/40	-1			0	0.50	33314	Sb Te Se	120 108 72
xqd/6-SST/60	-1			0	0.50	33314	Sb Te Se	120 72 108
xqd/6-SST/70	-1			0	0.50	33314	Sb Te Se	120 54 126
xqd/6-SST/80	-1			0	0.50	33314	Sb Te Se	120 36 144
xqd/7-Tr/1-AIST	0	300	300	1000	3.00	77530	Ag In Sb Te	12 9 201 78
xqd/7-Tr/3-SbS	0	300	300	1000	3.00	77508	Sb S	120 180
xqd/7-Tr/4-GST225/3-function/1-64atoms/3-B3LYP/1-2000K	0	2000	2000	1300	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/5-BLYP/1-2000K	0	2000	2000	1800	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/5-BLYP/3-opt	2			500	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/5-BLYP/4-MD	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/5-BLYP/2-quench	0	1917	300	1900	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/2-PBE0/1-2000K	0	2000	2000	1250	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/1-HSE06/1-2000K	0	2000	2000	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/1-HSE06/2-quench	0	1176	300	1300	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/1-HSE06/4-MD	0	300	300	300	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/1-HSE06/4-MD/2	0	300	300	1000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/1-HSE06/4-MD/3	0	300	300	1000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/1-HSE06/3-opt	2			500	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/4-HSE-0.5/1-2000k	0	2000	2000	1400	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/4-HSE-0.5/4-MD	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/4-HSE-0.5/2-quench	0	2000	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/3-function/1-64atoms/4-HSE-0.5/3-opt	2			500	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/5-125atoms/21-300k-2kstep	0	3000	300	2000	3.00	32544	Ge Sb Te	28 28 69
xqd/7-Tr/4-GST225/5-125atoms/23-300k-6kstep	0	3000	300	6000	3.00	32544	Ge Sb Te	28 28 69
xqd/7-Tr/4-GST225/5-125atoms/22-300k-4kstep	0	3000	300	4000	3.00	32544	Ge Sb Te	28 28 69
xqd/7-Tr/4-GST225/1-64atom/3-model/1-2000K	0	2000	2000	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/3-model/22-300K-4kstep	0	2000	300	4000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/3-model/22-300K-4kstep/md	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/3-model/22-300K-4kstep/opt	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/3-model/21-300K-2kstep/opt	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/3-model/21-300K-2kstep/md	0	2000	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/3-model/21-300K-2kstep	0	2000	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/1-2000K	0	2000	2000	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/equb/1-900K	0	2000	900	1000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/equb/2-900k-hold	0	900	900	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/equb/3-300K	0	900	300	4000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/equb/4-opt	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/equb/5-md	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/23-300K-6kstep	0	2000	300	6000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/23-300K-6kstep/opt	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/23-300K-6kstep/md	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/21-300K-2kstep/MD	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/21-300K-2kstep	0	2000	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/21-300K-2kstep/opt	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/22-300K-4kstep/opt	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/22-300K-4kstep/md	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/1-model/22-300K-4kstep	0	2000	300	4000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/2-model/1-2000K	0	2000	2000	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/2-model/22-300K-4kstep	0	2000	300	4000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/2-model/22-300K-4kstep/opt	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/2-model/22-300K-4kstep/md	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/2-model/21-300K-2kstep/opt	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/2-model/21-300K-2kstep	0	354	300	70	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/2-model/21-300K-2kstep/md	0	300	300	2000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/1-64atom/2-model	0	2000	2000	2000	3.00	0		
xqd/7-Tr/4-GST225/2-216atom/2-model/21-300K-2kstep	0	2000	300	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/2-model/21-300K-2kstep/opt	2			300	0.50	21654	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/2-model/21-300K-2kstep/md	0	300	300	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/2-model/1-2000K	0	2000	2000	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/1-2000K	0	2000	2000	2000	3.00	50277	Ge Sb Te	43 43 108
xqd/7-Tr/4-GST225/2-216atom/1-model/23-300K-6kstep	0	2000	300	6000	3.00	50277	Ge Sb Te	43 43 108
